Network,Node,Degree,PageRank,Betweenness,Community,Label
Marvel,"PALERMO, HARRIET ROS",78,0.00020796234201207378,3.3188858457686374e-05,1,Regular
Marvel,"PALERMO, VICTOR",79,0.0002100538783774507,3.3791859774866674e-05,1,Regular
Marvel,BAMBI,59,0.0001635103381725859,7.947746346797661e-06,1,Regular
Marvel,"OSNICK, OLLIE",11,4.9624833312970966e-05,1.9685465686144259e-07,1,Regular
Marvel,TOAD/MORTIMER TOYNBE,238,0.0005582902535322843,0.0004214339766125896,5,Regular
Marvel,BLACK FOX II/,40,0.00012232266113885253,6.964064188617068e-06,1,Regular
Marvel,"MACINTOSH, ANN",48,0.00014741039497206073,7.531391625328212e-05,1,Regular
Marvel,"FUJIKAWA, RUMIKO",73,0.00024698747246100695,0.00022652741079100567,0,Regular
Marvel,SCYLLA,5,3.5583590420439435e-05,0.0,0,Regular
Marvel,JAKAL,12,5.624493065240816e-05,0.0,5,Regular
Marvel,MARAUD,12,5.624493065240816e-05,0.0,5,Regular
Marvel,DESTRAK,12,5.624493065240816e-05,0.0,5,Regular
Marvel,SENTRY 459,47,0.00012388300888522056,4.385844655288931e-06,0,Regular
